date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:20	144923/144923	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264f6d223-2361b%22	https://templates.hibootstrap.com/sanu/default/assets/fonts/flaticon.svg?4f7700d6618cd0ef11fa9dc7cf3a6fc7	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/fonts/flaticond976.svg	(from https://templates.hibootstrap.com/sanu/default/assets/css/flaticon.css)
15:54:24	139320/139320	---M--	200	added ('OK')	application/octet-stream	etag:%2264f6d21f-22038%22	https://templates.hibootstrap.com/sanu/default/assets/fonts/remixicon.woff2?t=1681573354175	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/fonts/remixicon972e.woff2	(from https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css)
15:54:25	191420/191420	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264f6d222-2ebbc%22	https://templates.hibootstrap.com/sanu/default/assets/fonts/remixicon.woff?t=1681573354175	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/fonts/remixicon972e.woff	(from https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css)
15:54:26	451708/451708	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264f6d221-6e47c%22	https://templates.hibootstrap.com/sanu/default/assets/fonts/remixicon.eot?t=1681573354175	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/fonts/remixicon972e.eot	(from https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css)
15:54:26	451536/451536	---M--	200	added ('OK')	application/octet-stream	etag:%2264f6d222-6e3d0%22	https://templates.hibootstrap.com/sanu/default/assets/fonts/remixicon.ttf?t=1681573354175	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/fonts/remixicon972e.ttf	(from https://templates.hibootstrap.com/sanu/default/assets/css/remixicon.css)
15:54:27	121626/121626	---M--	200	added ('OK')	image/jpeg	etag:%2264f6d289-1db22%22	https://templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img1.jpg	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img1.jpg	(from https://templates.hibootstrap.com/sanu/default/assets/css/style.css)
15:54:27	180199/180199	---M--	200	added ('OK')	image/jpeg	etag:%2264f6d288-2bfef%22	https://templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img2.jpg	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img2.jpg	(from https://templates.hibootstrap.com/sanu/default/assets/css/style.css)
15:54:27	158196/158196	---M--	200	added ('OK')	image/jpeg	etag:%2264f6d288-269fc%22	https://templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img3.jpg	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img3.jpg	(from https://templates.hibootstrap.com/sanu/default/assets/css/style.css)
15:54:30	173855/173855	---M--	200	added ('OK')	image/jpeg	etag:%2264f6d289-2a71f%22	https://templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img5.jpg	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img5.jpg	(from https://templates.hibootstrap.com/sanu/default/assets/css/style.css)
15:54:30	181805/181805	---M--	200	added ('OK')	image/jpeg	etag:%2264f6d289-2c62d%22	https://templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img4.jpg	C:/My%20Web%20Sites/lms/templates.hibootstrap.com/sanu/default/assets/images/banner/banner-img4.jpg	(from https://templates.hibootstrap.com/sanu/default/assets/css/style.css)
